dtype,group_size,zero_point,kv_e4m3,act_e4m3,input_length,output_length,e2e_latency,time_to_first_token,inter_token_latency
,,,no,no,256,256,3.827622741,0.033331752,0.014879591
,,,no,no,256,512,7.696504634,0.033399686,0.014996077
,,,no,no,256,1024,15.617444897,0.033454051,0.015233535
,,,no,no,256,2048,32.153989382,0.033463021,0.015691298
,,,no,no,512,256,3.912651178,0.058277306,0.015114529
,,,no,no,512,512,7.840093281,0.058980925,0.015227076
,,,no,no,512,1024,15.880743552,0.058706298,0.015466526
,,,no,no,512,2048,32.675381641,0.058503335,0.015933917
,,,no,no,1024,256,4.079394529,0.105408375,0.015584147
,,,no,no,1024,512,8.128342784,0.105252796,0.015700711
,,,no,no,1024,1024,16.406852111,0.105586171,0.015934142
,,,no,no,1024,2048,33.684247196,0.105725593,0.016403594
,,,no,no,2048,256,4.414139257,0.201544265,0.016521424
,,,no,no,2048,512,8.703792110,0.201711128,0.016638024
,,,no,no,2048,1024,17.462343673,0.201330244,0.016872882
,,,no,no,2048,2048,35.694227251,0.201515656,0.017338905
,,,yes,no,256,256,3.799513697,0.034154893,0.014765512
,,,yes,no,256,512,7.599144151,0.034465149,0.014803431
,,,yes,no,256,1024,15.259179372,0.034494723,0.014882278
,,,yes,no,256,2048,30.796250854,0.034602297,0.015027657
,,,yes,no,512,256,3.843876469,0.059464754,0.014840413
,,,yes,no,512,512,7.661664082,0.059328103,0.014877362
,,,yes,no,512,1024,15.362703133,0.059790093,0.014958857
,,,yes,no,512,2048,30.973549825,0.059759839,0.015101830
,,,yes,no,1024,256,3.936765781,0.106325831,0.015022024
,,,yes,no,1024,512,7.792449244,0.106186651,0.015040852
,,,yes,no,1024,1024,15.555823395,0.106750236,0.015101222
,,,yes,no,1024,2048,31.313662329,0.107161558,0.015244820
,,,yes,no,2048,256,4.109421629,0.204120984,0.015316013
,,,yes,no,2048,512,8.039168894,0.203948447,0.015333220
,,,yes,no,2048,1024,15.948268631,0.204352829,0.015390078
,,,yes,no,2048,2048,31.987595845,0.205210358,0.015526203
int4,128,no,no,no,256,256,1.294718509,0.025016216,0.004978935
int4,128,no,no,no,256,512,2.633567126,0.025100235,0.005104577
int4,128,no,no,no,256,1024,5.497641057,0.025246769,0.005349119
int4,128,no,no,no,256,2048,11.965934522,0.025281474,0.005832837
int4,128,no,no,no,512,256,1.378742458,0.045810333,0.005227028
int4,128,no,no,no,512,512,2.779631910,0.045840816,0.005350277
int4,128,no,no,no,512,1024,5.769054115,0.045892451,0.005594233
int4,128,no,no,no,512,2048,12.483227347,0.045914415,0.006075862
int4,128,no,no,no,1024,256,1.547265850,0.088841463,0.005718777
int4,128,no,no,no,1024,512,3.072283591,0.088701434,0.005837146
int4,128,no,no,no,1024,1024,6.315138811,0.088877467,0.006086089
int4,128,no,no,no,1024,2048,13.526815319,0.088922461,0.006564794
int4,128,no,no,no,2048,256,1.887121034,0.180493132,0.006692850
int4,128,no,no,no,2048,512,3.655812738,0.180596036,0.006800834
int4,128,no,no,no,2048,1024,7.397109460,0.180760518,0.007054133
int4,128,no,no,no,2048,2048,15.590946443,0.180720859,0.007528055
int4,128,no,yes,no,256,256,1.270642594,0.026428434,0.004878018
int4,128,no,yes,no,256,512,2.537517956,0.026518703,0.004914150
