model,algorithm,group_size,dtype,zp,kv_e4m3,act_e4m3,dataset,byte_perplexity,word_perplexity
LLaMA-2-7B,,,,no,no,no,C4,1.6216,18.0785
LLaMA-2-7B,GPTQ,128,int4,no,no,no,C4,1.6326,18.8259
LLaMA-2-7B,GPTQ,128,int4,yes,no,no,C4,1.6304,18.6756
LLaMA-2-7B,GPTQ,64,int4,no,no,no,C4,1.6322,18.7957
LLaMA-2-7B,GPTQ,64,int4,yes,no,no,C4,1.6286,18.5548
LLaMA-2-7B,GPTQ,32,int4,no,no,no,C4,1.6305,18.6790
LLaMA-2-7B,GPTQ,32,int4,yes,no,no,C4,1.6269,18.4370
LLaMA-2-7B,GPTQ,16,e2m1,no,no,no,C4,1.6349,18.9878
LLaMA-2-7B,GPTQ,,e4m3,no,no,yes,C4,1.6261,18.3815
LLaMA-2-7B,GPTQ,128,int4,no,no,yes,C4,1.6379,19.1974
LLaMA-2-7B,GPTQ,128,int4,yes,no,yes,C4,1.6345,18.9607
LLaMA-2-7B,GPTQ,64,int4,no,no,yes,C4,1.6361,19.0715
LLaMA-2-7B,GPTQ,64,int4,yes,no,yes,C4,1.6326,18.8263
LLaMA-2-7B,GPTQ,32,int4,no,no,yes,C4,1.6342,18.9369
LLaMA-2-7B,GPTQ,32,int4,yes,no,yes,C4,1.6310,18.7155
LLaMA-2-7B,AWQ,128,int4,no,no,no,C4,1.6431,19.5633
LLaMA-2-7B,AWQ,128,int4,yes,no,no,C4,1.6334,18.8791
LLaMA-2-7B,AWQ,64,int4,no,no,no,C4,1.6392,19.2845
LLaMA-2-7B,AWQ,64,int4,yes,no,no,C4,1.6304,18.6724
LLaMA-2-7B,AWQ,32,int4,no,no,no,C4,1.6342,18.9363
LLaMA-2-7B,AWQ,32,int4,yes,no,no,C4,1.6282,18.5231
LLaMA-2-7B,AWQ,16,e2m1,no,no,no,C4,1.6439,18.7788
LLaMA-2-7B,AWQ,,e4m3,no,no,yes,C4,1.6262,18.3872
LLaMA-2-7B,AWQ,128,int4,no,no,yes,C4,1.6487,19.9683
LLaMA-2-7B,AWQ,128,int4,yes,no,yes,C4,1.6350,18.9940
LLaMA-2-7B,AWQ,64,int4,no,no,yes,C4,1.6414,19.4456
LLaMA-2-7B,AWQ,64,int4,yes,no,yes,C4,1.6328,18.8409
LLaMA-2-7B,AWQ,32,int4,no,no,yes,C4,1.6425,19.5196
LLaMA-2-7B,AWQ,32,int4,yes,no,yes,C4,1.6309,18.7075
LLaMA-2-7B,RTN,128,int4,no,no,no,C4,1.6470,19.8414
LLaMA-2-7B,RTN,128,int4,yes,no,no,C4,1.6472,19.8600
LLaMA-2-7B,RTN,64,int4,no,no,no,C4,1.6429,19.5460
LLaMA-2-7B,RTN,64,int4,yes,no,no,C4,1.6452,19.7164
LLaMA-2-7B,RTN,32,int4,no,no,no,C4,1.6406,19.3842
LLaMA-2-7B,RTN,32,int4,yes,no,no,C4,1.6416,19.4596
LLaMA-2-7B,RTN,16,e2m1,no,no,no,C4,1.6415,19.4487
LLaMA-2-7B,RTN,128,int8,no,no,no,C4,1.6217,18.0850
LLaMA-2-7B,RTN,64,int8,no,no,no,C4,1.6217,18.0845
LLaMA-2-7B,RTN,32,int8,no,no,no,C4,1.6217,18.0839
LLaMA-2-7B,RTN,,e4m3,no,no,yes,C4,1.6260,18.3768
LLaMA-2-7B,RTN,128,int4,no,no,yes,C4,1.6529,20.2732
LLaMA-2-7B,RTN,128,int4,yes,no,yes,C4,1.6514,20.1648
LLaMA-2-7B,RTN,64,int4,no,no,yes,C4,1.6490,19.9898
LLaMA-2-7B,RTN,64,int4,yes,no,yes,C4,1.6493,20.0098
LLaMA-2-7B,RTN,32,int4,no,no,yes,C4,1.6466,19.8137
LLaMA-2-7B,RTN,32,int4,yes,no,yes,C4,1.6456,19.7393
LLaMA-2-7B,,,,no,yes,no,C4,1.6253,18.3273
LLaMA-2-7B,GPTQ,128,int4,no,yes,no,C4,1.6417,19.4617 
LLaMA-2-7B,GPTQ,128,int4,yes,yes,no,C4,1.6343,18.9452
LLaMA-2-7B,GPTQ,64,int4,no,yes,no,C4,1.6362,19.0741
LLaMA-2-7B,GPTQ,64,int4,yes,yes,no,C4,1.6326,18.8263
LLaMA-2-7B,GPTQ,32,int4,no,yes,no,C4,1.6344,18.9530
LLaMA-2-7B,GPTQ,32,int4,yes,yes,no,C4,1.6308,18.7029
LLaMA-2-7B,GPTQ,128,int4,no,yes,yes,C4,1.6389,19.2656
LLaMA-2-7B,GPTQ,128,int4,yes,yes,yes,C4,1.6353,19.0116
LLaMA-2-7B,GPTQ,64,int4,no,yes,yes,C4,1.6364,19.0885
LLaMA-2-7B,GPTQ,64,int4,yes,yes,yes,C4,1.6334,18.8817
LLaMA-2-7B,GPTQ,32,int4,no,yes,yes,C4,1.6347,18.9741
LLaMA-2-7B,GPTQ,32,int4,yes,yes,yes,C4,1.6317,18.7655
LLaMA-2-7B,AWQ,128,int4,no,yes,no,C4,1.6436,19.8945
LLaMA-2-7B,AWQ,128,int4,yes,yes,no,C4,1.6351,19.0025
LLaMA-2-7B,AWQ,64,int4,no,yes,no,C4,1.6410,19.4112
LLaMA-2-7B,AWQ,64,int4,yes,yes,no,C4,1.6328,18.8426
LLaMA-2-7B,AWQ,32,int4,no,yes,no,C4,1.6361,19.0699
LLaMA-2-7B,AWQ,32,int4,yes,yes,no,C4,1.6308,18.7009
LLaMA-2-7B,AWQ,16,e2m1,no,yes,no,C4,1.6426,19.5245
LLaMA-2-7B,AWQ,128,int4,no,yes,yes,C4,1.6496,20.0291
LLaMA-2-7B,AWQ,128,int4,yes,yes,yes,C4,1.6359,19.0542
LLaMA-2-7B,AWQ,64,int4,no,yes,yes,C4,1.6412,19.4314
LLaMA-2-7B,AWQ,64,int4,yes,yes,yes,C4,1.6335,18.8878
LLaMA-2-7B,AWQ,32,int4,no,yes,yes,C4,1.6434,19.5840
LLaMA-2-7B,AWQ,32,int4,yes,yes,yes,C4,1.6316,18.7543
LLaMA-2-7B,RTN,128,int4,no,yes,no,C4,1.6529,20.2748
LLaMA-2-7B,RTN,128,int4,yes,yes,no,C4,1.6511,20.1439
LLaMA-2-7B,RTN,64,int4,no,yes,no,C4,1.6489,19.9782
LLaMA-2-7B,RTN,64,int4,yes,yes,no,C4,1.6493,20.0094
LLaMA-2-7B,RTN,32,int4,no,yes,no,C4,1.6448,19.6833
LLaMA-2-7B,RTN,32,int4,yes,yes,no,C4,1.6467,19.7471
LLaMA-2-7B,RTN,16,e2m1,no,yes,no,C4,1.6426,19.5245
LLaMA-2-7B,RTN,,e4m3,no,yes,yes,C4,1.6266,18.4154
LLaMA-2-7B,RTN,128,int4,no,yes,yes,C4,1.6536,20.3269
LLaMA-2-7B,RTN,128,int4,yes,yes,yes,C4,1.6521,20.2136
LLaMA-2-7B,RTN,64,int4,no,yes,yes,C4,1.6495,20.0234
LLaMA-2-7B,RTN,64,int4,yes,yes,yes,C4,1.6502,20.0759
LLaMA-2-7B,RTN,32,int4,no,yes,yes,C4,1.6474,19.8752
LLaMA-2-7B,RTN,32,int4,yes,yes,yes,C4,1.6465,19.8071
LLaMA-2-7B,,,,no,no,no,Wikitext-2,1.4989,8.7087
LLaMA-2-7B,GPTQ,128,int4,no,no,no,Wikitext-2,1.5081,8.9980
